Dex,Pokemon,Primary Type,Secondary Type,Level,Rarity,Sky,Light,Time,Weather,Biomes (Wiki),Anti-Biomes (Wiki),Structures,Anti-Structures,Base Blocks,Nearby Blocks,Moon Phase (Wiki),Anti-Moon Phase (Wiki),Presets,Gen #,Labels,Egg Groups,Spawn Weight,Context,Spawn ID,Species Archive,Spawn Directory,Species Directory
#0232,Donphan,Ground,-----,25-50,Common,Any,8 - 15,Any,Any,Savanna,,,,,,,,"Natural, Wild",Gen 2,,Field,0.6,Grounded,donphan-2,generation2/donphan.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0825,Dottler,Bug,Psychic,9-20,Uncommon,MUST SEE,Any,Any,Any,Forest,Spooky,,,,,,,"Natural, Treetop",Gen 8,,Bug,2,Grounded,dottler-1,generation8/dottler.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0825,Dottler,Bug,Psychic,9-20,Uncommon,MUST SEE,Any,Any,Any,Plains,,,,,,,,"Natural, Foliage, Treetop",Gen 8,,Bug,2,Grounded,dottler-2,generation8/dottler.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0680,Doublade,Steel,Ghost,35-45,Uncommon,Any,Any,Any,Any,Nether,,,,,,,,"Natural, Nether_Structures",Gen 6,,Mineral,9,Grounded,doublade-1,generation6/doublade.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0680,Doublade,Steel,Ghost,35-45,Common,Any,8 - 15,Any,Any,Overworld,,,,,,,,Ruins,Gen 6,,Mineral,1.8,Grounded,doublade-2,generation6/doublade.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0680,Doublade,Steel,Ghost,35-45,Uncommon,Any,0 - 7,Any,Any,Overworld,,,,,,,,Stronghold,Gen 6,,Mineral,9,Grounded,doublade-3,generation6/doublade.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0691,Dragalge,Poison,Dragon,48-49,Common,MUST SEE,Any,Any,Any,Ocean,,,,,Kelp Plant,,,Underwater,Gen 6,,"Water_1, Dragon",0.2,Submerged,dragalge-1,generation6/dragalge.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0887,Dragapult,Dragon,Ghost,60-65,Rare,Any,8 - 15,Any,Any,Coast,,,,,,,,"Natural, Freshwater",Gen 8,Pseudo Legendary,"Amorphous, Dragon",0.1,Grounded,dragapult-1,generation8/dragapult.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0887,Dragapult,Dragon,Ghost,60-65,Rare,Any,Any,Any,Any,Overworld,Ocean,,,,,,,Water_Surface,Gen 8,Pseudo Legendary,"Amorphous, Dragon",0.1,Surface,dragapult-2,generation8/dragapult.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0148,Dragonair,Dragon,-----,30-42,Rare,Any,0 - 7,Any,Any,Overworld,,,,,,,,Water_Surface,Gen 1,,"Water_1, Dragon",0.9,Surface,dragonair-1,generation1/dragonair.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0148,Dragonair,Dragon,-----,30-42,Rare,Any,0 - 7,Any,Any,Overworld,,,,,,,,Underwater,Gen 1,,"Water_1, Dragon",0.9,Submerged,dragonair-2,generation1/dragonair.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0148,Dragonair,Dragon,-----,30-42,Uncommon,MUST SEE,Any,Any,Any,Ocean,,,,,,,,"Underwater, Ocean_Ruins",Gen 1,,"Water_1, Dragon",9,Submerged,dragonair-3,generation1/dragonair.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0149,Dragonite,Dragon,Flying,55-60,Rare,Any,0 - 7,Any,Any,Overworld,,,,,Water,,,Natural,Gen 1,Pseudo Legendary,"Water_1, Dragon",0.1,Grounded,dragonite-1,generation1/dragonite.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0149,Dragonite,Dragon,Flying,55-60,Uncommon,MUST SEE,Any,Any,Any,Ocean,,,,,,,,"Underwater, Ocean_Ruins",Gen 1,Pseudo Legendary,"Water_1, Dragon",1,Submerged,dragonite-2,generation1/dragonite.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0149,Dragonite,Dragon,Flying,55-60,Rare,Any,8 - 15,Any,Rain,Sky,,,,,,,,Natural,Gen 1,Pseudo Legendary,"Water_1, Dragon",2,Grounded,dragonite-4,generation1/dragonite.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0886,Drakloak,Dragon,Ghost,50-55,Rare,Any,8 - 15,Any,Any,Coast,,,,,,,,"Natural, Freshwater",Gen 8,,"Amorphous, Dragon",0.9,Grounded,drakloak-1,generation8/drakloak.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0886,Drakloak,Dragon,Ghost,50-55,Rare,Any,Any,Any,Any,Overworld,Ocean,,,,,,,Water_Surface,Gen 8,,"Amorphous, Dragon",0.9,Surface,drakloak-2,generation8/drakloak.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0147,Dratini,Dragon,-----,5-30,Rare,Any,0 - 7,Any,Any,Overworld,,,,,,,,Water_Surface,Gen 1,,"Water_1, Dragon",9,Surface,dratini-1,generation1/dratini.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0147,Dratini,Dragon,-----,5-30,Rare,Any,0 - 7,Any,Any,Overworld,,,,,,,,Underwater,Gen 1,,"Water_1, Dragon",9,Submerged,dratini-2,generation1/dratini.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0147,Dratini,Dragon,-----,5-30,Uncommon,MUST SEE,Any,Any,Any,Ocean,,,,,,,,"Underwater, Ocean_Ruins",Gen 1,,"Water_1, Dragon",90,Submerged,dratini-3,generation1/dratini.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0885,Dreepy,Dragon,Ghost,2-27,Rare,Any,8 - 15,Any,Any,Coast,,,,,,,,"Natural, Freshwater",Gen 8,,"Amorphous, Dragon",9,Grounded,dreepy-1,generation8/dreepy.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0885,Dreepy,Dragon,Ghost,2-27,Rare,Any,Any,Any,Any,Overworld,Ocean,,,,,,,Water_Surface,Gen 8,,"Amorphous, Dragon",9,Surface,dreepy-2,generation8/dreepy.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0426,Drifblim,Ghost,Flying,28-50,Uncommon,Any,8 - 15,Night,Clear,Overworld,"Arid, Freezing",,,,,,,Natural,Gen 4,,Amorphous,0.6,Grounded,drifblim-1,generation4/drifblim.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0426,Drifblim,Ghost,Flying,28-50,Common,Any,8 - 15,Night,Clear,Sky,,,,,,,,Natural,Gen 4,,Amorphous,1,Grounded,drifblim-2,generation4/drifblim.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0425,Drifloon,Ghost,Flying,10-35,Uncommon,Any,8 - 15,Night,Clear,Overworld,"Arid, Freezing",,,,,,,Natural,Gen 4,,Amorphous,5.4,Grounded,drifloon-1,generation4/drifloon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0425,Drifloon,Ghost,Flying,10-35,Common,Any,8 - 15,Night,Clear,Sky,,,,,,,,Natural,Gen 4,,Amorphous,9,Grounded,drifloon-2,generation4/drifloon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0529,Drilbur,Ground,-----,5-31,Common,CANNOT SEE,Any,Any,Any,Overworld,Abyss,,,,,,,,Gen 5,,Field,4.5,Grounded,drilbur-1,generation5/drilbur.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0817,Drizzile,Water,-----,16-42,Ultra-Rare,Any,8 - 15,Any,Any,,,,,,,,,"Natural, Freshwater",Gen 8,,"Water_1, Field",0.9,Grounded,drizzile-1,generation8/drizzile.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0817,Drizzile,Water,-----,16-42,Ultra-Rare,MUST SEE,Any,Any,Any,,,,,,,,,"Freshwater, Underwater",Gen 8,,"Water_1, Field",0.9,Submerged,drizzile-2,generation8/drizzile.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0096,Drowzee,Psychic,-----,8-33,Common,Any,8 - 15,Night,Any,Overworld,Freezing,,,,,,,"Natural, Urban",Gen 1,,Human_Like,9,Grounded,drowzee-1,generation1/drowzee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0096,Drowzee,Psychic,-----,8-33,Common,Any,8 - 15,Night,Any,Overworld,Freezing,,,,,,,"Natural, Village",Gen 1,,Human_Like,9,Grounded,drowzee-2,generation1/drowzee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0832,Dubwool,Normal,-----,24-49,Common,Any,8 - 15,Any,Any,"Mountain, Plains",,,,,,,,Natural,Gen 8,,Field,1,Grounded,dubwool-1,generation8/dubwool.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0580,Ducklett,Water,Flying,8-20,Common,MUST SEE,Any,Day,Any,River,,,,,,,,Freshwater,Gen 5,,"Water_1, Flying",10,Surface,ducklett-1,generation5/ducklett.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0051,Dugtrio,Ground,-----,26-43,Common,Any,0 - 7,Any,Any,Overworld,Deep Dark,,,,,,,Natural,Gen 1,Kanto Regional,Field,1,Grounded,dugtrio-1,generation1/dugtrio.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0051,Dugtrio Alolan,Ground,Steel,26-43,Common,Any,0 - 7,Any,Any,Overworld,Deep Dark,,,,,,,Natural,Gen 1,Kanto Regional,Field,1,Grounded,dugtrio-alolan-2,generation1/dugtrio.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0578,Duosion,Psychic,-----,32-45,Rare,MUST SEE,Any,Day,Any,Magical,,,,,,,,Natural,Gen 5,,Amorphous,1,Grounded,duosion-1,generation5/duosion.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0884,Duraludon,Steel,Dragon,38-48,Rare,MUST SEE,Any,Any,Any,Overworld,,,,,Iron Block,,,,Gen 8,,"Mineral, Dragon",8.06,Grounded,duraludon-1,generation8/duraludon.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0884,Duraludon,Steel,Dragon,38-48,Rare,Any,Any,Any,Any,Snowy Forest,,,,,,,,,Gen 8,,"Mineral, Dragon",7.5,Grounded,duraludon-2,generation8/duraludon.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0632,Durant,Bug,Steel,23-48,Common,Any,8 - 15,Any,Any,"Badlands, Hills",,,,,,,,Natural,Gen 5,,Bug,2,Grounded,durant-1,generation5/durant.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0632,Durant,Bug,Steel,23-48,Common,Any,0 - 7,Any,Any,"Badlands, Hills",,,,,,,,Natural,Gen 5,,Bug,10,Grounded,durant-2,generation5/durant.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0632,Durant,Bug,Steel,23-48,Common,Any,Any,Any,Any,Nether: Mountain,,,,,,,,Natural,Gen 5,,Bug,10,Grounded,durant-3,generation5/durant.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0356,Dusclops,Ghost,-----,37-46,Common,Any,8 - 15,Night,Any,Spooky,,,,,,,,Natural,Gen 3,,Amorphous,0.54,Grounded,dusclops-1,generation3/dusclops.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0356,Dusclops,Ghost,-----,37-46,Common,Any,8 - 15,Any,Any,Nether: Soul Sand,,,,,,,,Natural,Gen 3,,Amorphous,0.9,Grounded,dusclops-2,generation3/dusclops.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0477,Dusknoir,Ghost,-----,41-53,Common,Any,8 - 15,Night,Any,Spooky,,,,,,,,Natural,Gen 4,,Amorphous,0.06,Grounded,dusknoir-1,generation4/dusknoir.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0477,Dusknoir,Ghost,-----,41-53,Common,Any,Any,Any,Any,Nether: Soul Sand,,,,,,,,Natural,Gen 4,,Amorphous,0.1,Grounded,dusknoir-3,generation4/dusknoir.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0355,Duskull,Ghost,-----,5-30,Common,Any,8 - 15,Night,Any,Spooky,,,,,,,,Natural,Gen 3,,Amorphous,5.4,Grounded,duskull-1,generation3/duskull.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0355,Duskull,Ghost,-----,5-30,Common,Any,8 - 15,Any,Any,Nether: Soul Sand,,,,,,,,Natural,Gen 3,,Amorphous,9,Grounded,duskull-2,generation3/duskull.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0557,Dwebble,Bug,Rock,8-33,Common,Any,Any,Any,Any,Badlands,,,,,,,,Natural,Gen 5,,"Bug, Mineral",9,Grounded,dwebble-1,generation5/dwebble.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0603,Eelektrik,Electric,-----,39-50,Rare,CANNOT SEE,Any,Any,Any,Cave,,,,,,,,Underwater,Gen 5,,Amorphous,1,Submerged,eelektrik-1,generation5/eelektrik.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0603,Eelektrik,Electric,-----,39-50,Uncommon,CANNOT SEE,Any,Any,Any,Lush,,,,,,,,Underwater,Gen 5,,Amorphous,1,Submerged,eelektrik-2,generation5/eelektrik.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0604,Eelektross,Electric,-----,39-60,Rare,CANNOT SEE,Any,Any,Any,Cave,,,,,,,,Underwater,Gen 5,,Amorphous,0.1,Submerged,eelektross-1,generation5/eelektross.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0604,Eelektross,Electric,-----,39-60,Uncommon,CANNOT SEE,Any,Any,Any,Lush,,,,,,,,Underwater,Gen 5,,Amorphous,0.1,Submerged,eelektross-2,generation5/eelektross.json,BCG x AllTheMons 1.2.0.zip,Cobblemon-fabric-1.5.2+1.20.1.jar
#0133,Eevee,Normal,-----,5-33,Ultra-Rare,Any,8 - 15,Any,Any,Overworld,"Ocean, Temperate",,,,,,,Natural,Gen 1,,Field,9,Grounded,eevee-1,generation1/eevee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0133,Eevee,Normal,-----,5-33,Rare,Any,8 - 15,Any,Any,Temperate,,,,,,,,Natural,Gen 1,,Field,10,Grounded,eevee-2,generation1/eevee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0133,Eevee,Normal,-----,5-33,Uncommon,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Urban",Gen 1,,Field,1.8,Grounded,eevee-3,generation1/eevee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0133,Eevee,Normal,-----,5-33,Uncommon,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Village",Gen 1,,Field,1.8,Grounded,eevee-4,generation1/eevee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0133,Eevee,Normal,-----,5-33,Uncommon,CANNOT SEE,Any,Any,Any,Overworld,,,,,,,,Mansion,Gen 1,,Field,9,Grounded,eevee-5,generation1/eevee.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0875,Eiscue,Ice,-----,22-47,Common,Any,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Natural,Gen 8,,"Water_1, Field",6,Grounded,eiscue-1,generation8/eiscue.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0875,Eiscue,Ice,-----,22-47,Common,Any,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Water_Surface,Gen 8,,"Water_1, Field",6,Surface,eiscue-2,generation8/eiscue.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Attack Pattern),Poison,-----,4-29,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.27,Grounded,ekans-attack-1,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Classic Pattern),Poison,-----,4-29,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",4.05,Grounded,ekans-classic-1,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Dark Pattern),Poison,-----,4-29,Common,Any,Any,Any,Any,Nether: Desert,,,,,,,,Natural,Gen 1,,"Field, Dragon",5.4,Grounded,ekans-dark-2,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Elusive Pattern),Poison,-----,4-29,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.27,Grounded,ekans-elusive-1,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Legacy Pattern),Poison,-----,4-29,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.27,Grounded,ekans-legacy-1,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Sound Pattern),Poison,-----,4-29,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.27,Grounded,ekans-sound-1,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0023,Ekans (Speed Pattern),Poison,-----,4-29,Common,Any,8 - 15,Any,Any,Arid,,,,,,,,Natural,Gen 1,,"Field, Dragon",0.27,Grounded,ekans-speed-1,generation1/ekans.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0830,Eldegoss,Grass,-----,20-46,Common,Any,8 - 15,Any,Clear,Floral,,,,,,,,Natural,Gen 8,,Grass,1,Grounded,eldegoss-1,generation8/eldegoss.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0830,Eldegoss,Grass,-----,20-46,Common,Any,Any,Any,Clear,Floral Meadow,,,Sempiternal Sanctums,,,,,,Gen 8,,Grass,1,Grounded,eldegoss-2,generation8/eldegoss.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0125,Electabuzz,Electric,-----,30-50,Uncommon,Any,8 - 15,Any,Any,"Hills, Plains",,,,,,,,Natural,Gen 1,,Human_Like,0.18,Grounded,electabuzz-1,generation1/electabuzz.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0466,Electivire,Electric,-----,45-54,Uncommon,Any,8 - 15,Any,Any,"Hills, Plains",,,,,,,,Natural,Gen 4,,Human_Like,0.02,Grounded,electivire-1,generation4/electivire.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0101,Electrode,Electric,-----,30-49,Common,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Urban",Gen 1,Kanto Regional,Mineral,0.2,Grounded,electrode-1,generation1/electrode.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0101,Electrode,Electric,-----,30-49,Common,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Village",Gen 1,Kanto Regional,Mineral,0.2,Grounded,electrode-2,generation1/electrode.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0101,Electrode,Electric,-----,30-49,Uncommon,Any,8 - 15,Any,Any,Overworld,,,,,Lightning Rod,,,,Gen 1,Kanto Regional,Mineral,10,Grounded,electrode-3,generation1/electrode.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0101,Electrode Hisuian,Electric,Grass,30-49,Common,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Urban",Gen 1,Kanto Regional,Mineral,0.2,Grounded,electrode-hisuian-4,generation1/electrode.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0101,Electrode Hisuian,Electric,Grass,30-49,Common,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Village",Gen 1,Kanto Regional,Mineral,0.2,Grounded,electrode-hisuian-5,generation1/electrode.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0101,Electrode Hisuian,Electric,Grass,30-49,Uncommon,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Apricorns",Gen 1,Kanto Regional,Mineral,10,Grounded,electrode-hisuian-6,generation1/electrode.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0239,Elekid,Electric,-----,11-36,Uncommon,Any,8 - 15,Any,Any,"Hills, Plains",,,,,,,,Natural,Gen 2,Baby,Undiscovered,1.8,Grounded,elekid-1,generation2/elekid.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0605,Elgyem,Psychic,-----,9-34,Uncommon,Any,Any,Any,Any,End,,,,,,,,Natural,Gen 5,,Human_Like,9,Grounded,elgyem-1,generation5/elgyem.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0605,Elgyem,Psychic,-----,9-34,Common,Any,8 - 15,Night,Any,Overworld,,,,,Wheat,,,Natural,Gen 5,,Human_Like,9,Grounded,elgyem-2,generation5/elgyem.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0605,Elgyem,Psychic,-----,9-34,Common,Any,Any,Any,Any,Howling Constructs,,,Sempiternal Sanctums,,,,,,Gen 5,,Human_Like,5.4,Grounded,elgyem-3,generation5/elgyem.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0500,Emboar,Fire,Fighting,36-53,Ultra-Rare,Any,8 - 15,Any,Clear,Plains,,,,,,,,Natural,Gen 5,,Field,0.1,Grounded,emboar-1,generation5/emboar.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0500,Emboar,Fire,Fighting,36-53,Ultra-Rare,Any,Any,Any,Any,"Nether: Crimson, Nether: Overgrowth",,,,,,,,Natural,Gen 5,,Field,0.1,Grounded,emboar-2,generation5/emboar.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0587,Emolga,Electric,Flying,18-43,Uncommon,Any,8 - 15,Any,Any,Taiga,,,,,,,,"Natural, Treetop",Gen 5,,Field,10,Grounded,emolga-1,generation5/emolga.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0395,Empoleon,Water,Steel,36-53,Ultra-Rare,Any,8 - 15,Any,Any,Frozen Ocean,,,,,,,,Natural,Gen 4,,"Water_1, Field",0.1,Grounded,empoleon-1,generation4/empoleon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0395,Empoleon,Water,Steel,36-53,Ultra-Rare,MUST SEE,Any,Any,Any,Frozen Ocean,,,,,,,,Underwater,Gen 4,,"Water_1, Field",0.1,Submerged,empoleon-2,generation4/empoleon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0956,Espathra,Psychic,-----,35-48,Uncommon,Any,8 - 15,Any,Any,Arid,,,,,,,,"Natural, Wild",Gen 9,,Flying,0.6,Grounded,espathra-1,generation9/espathra.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0196,Espeon,Psychic,-----,28-53,Ultra-Rare,Any,8 - 15,Any,Any,Hills,,,,,,,,Natural,Gen 2,,Field,1,Grounded,espeon-1,generation2/espeon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0196,Espeon,Psychic,-----,28-53,Uncommon,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Urban",Gen 2,,Field,0.025,Grounded,espeon-2,generation2/espeon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
#0196,Espeon,Psychic,-----,28-53,Uncommon,Any,8 - 15,Any,Any,Overworld,,,,,,,,"Natural, Village",Gen 2,,Field,0.025,Grounded,espeon-3,generation2/espeon.json,Cobblemon-fabric-1.5.2+1.20.1.jar,Cobblemon-fabric-1.5.2+1.20.1.jar
